changes
"assigned,1,docs_added,5,at_appt,10"
"open,2,assigned,10"
"open,3,at_appt,10"
"open,4,at_appt,10"
"open,5,at_appt,10"
"at_appt,6,assigned,10"
"at_appt,7,assigned,10"
"at_appt,8,assigned,10"
"at_appt,9,assigned,10"
"at_appt,10,assigned,10"
"assigned,1,docs_added,5,at_appt,10"
"open,2,assigned,10"
"open,3,at_appt,10"
"open,4,at_appt,10"
"open,5,at_appt,10"
"at_appt,6,assigned,10"
"at_appt,7,assigned,10"
"at_appt,8,assigned,10"
"at_appt,9,assigned,10"
"at_appt,10,assigned,10"
"assigned,1,docs_added,5,at_appt,10"
"open,2,assigned,10"
"open,3,at_appt,10"
"open,4,at_appt,10"
"open,5,at_appt,10"
"at_appt,6,assigned,10"
"at_appt,7,assigned,10"
"at_appt,8,assigned,10"
"at_appt,9,assigned,10"
"at_appt,10,assigned,10"
"assigned,1,docs_added,5,at_appt,10"
"open,2,assigned,10"
"open,3,at_appt,10"
"open,4,at_appt,10"
"open,5,at_appt,10"
"at_appt,6,assigned,10"
"at_appt,7,assigned,10"
"at_appt,8,assigned,10"
"at_appt,9,assigned,10"
"at_appt,10,assigned,10"
