changes
"waiting,16,attached,16,created,18,assigned,1659,appt,1440"
"waiting,186,attached,186,created,191,assigned,219,appt,1440"
"waiting,20,assigned,20,attached,20,created,399,appt,1440"
"waiting,273,attached,273,created,276,assigned,13599,appt,1440"
"waiting,272,created,275,assigned,482,attached,1254,appt,1440"
"waiting,1226,created,1234,assigned,1238,attached,1599,appt,1440"
"waiting,1279,attached,1279,created,1281,assigned,2139,appt,1440"
"waiting,1247,attached,1247,created,1252,assigned,1569,appt,1440"
"waiting,224,created,226,assigned,1599,appt,1440"
"waiting,1301,created,1306,assigned,10299,appt,1440"
"waiting,62,attached,62,created,72,assigned,219,appt,1440"
"waiting,192,assigned,192,created,193,attached,219,appt,1440"
"waiting,186,attached,186,created,190,assigned,219,closed,399,appt,1440"
"waiting,221,assigned,221,created,222,attached,1539,appt,1440"
"waiting,231,assigned,231,attached,231,created,3189,appt,1440"
"waiting,246,assigned,246,attached,246,created,14379,appt,1440"
"waiting,256,created,257,attached,260,assigned,2619,appt,1440"
"waiting,188,attached,188,created,191,assigned,219,completed,1209,appt,1440"
"waiting,280,assigned,280,attached,280,created,489,appt,1440"
"waiting,319,attached,319,created,436,assigned,1659,appt,1440"
"waiting,1179,attached,1179,created,1183,assigned,23139,appt,1440"
"waiting,1295,created,1296,attached,1307,assigned,1779,appt,1440"
"waiting,1291,attached,1291,created,1296,assigned,1599,appt,1440"
"waiting,185,created,187,assigned,194,attached,3159,appt,1440"
"waiting,1315,assigned,1315,created,1316,attached,4359,appt,1440"
"waiting,219,closed,219,completed,1239,assigned,1239,created,1269,appt,1440"
"waiting,86,attached,86,created,97,assigned,4059,appt,1440"
"waiting,94,attached,94,created,96,assigned,189,appt,1440"
"waiting,185,created,186,attached,229,assigned,264,appt,1440"
"waiting,208,attached,208,created,217,assigned,219,completed,1269,appt,1440"
"waiting,276,attached,276,created,285,assigned,1539,appt,1440"
"waiting,1252,attached,1252,created,1254,assigned,8859,appt,1440"
"waiting,1301,created,1302,attached,1599,appt,1440"
"waiting,74,assigned,74,created,90,attached,1629,appt,1440"
"waiting,138,attached,138,created,142,assigned,8559,appt,1440"
"waiting,171,created,173,assigned,173,attached,1539,appt,1440"
"waiting,175,assigned,175,created,176,attached,1194,appt,1440"
"waiting,317,attached,317,created,325,assigned,1539,appt,1440"
"waiting,397,attached,397,created,406,assigned,3219,appt,1440"
"waiting,1334,attached,1334,created,1343,assigned,10029,appt,1440"
"waiting,1339,assigned,1339,created,1479,appt,1440"
"waiting,136,created,139,assigned,11379,appt,1440"
"waiting,1337,created,1339,assigned,3309,appt,1440"
"waiting,66,assigned,66,attached,66,created,309,appt,1440"
"waiting,90,attached,90,created,153,assigned,219,appt,219,closed,1440"
"waiting,130,attached,130,created,135,assigned,1689,appt,1440"
"waiting,1313,assigned,1313,attached,1313,created,3279,appt,1440"
"waiting,1332,assigned,1332,attached,1332,created,53109,appt,1440"
"waiting,22,attached,22,created,2649,appt,1440"
"waiting,91,assigned,91,attached,91,created,99,appt,1440"
"waiting,240,created,253,assigned,270,attached,459,appt,1440"
"waiting,297,created,298,attached,299,assigned,1359,appt,1440"
"waiting,416,attached,416,created,1182,assigned,3219,appt,1440"
"waiting,1258,created,1261,assigned,1266,attached,1359,appt,1440"
"waiting,1295,assigned,1295,attached,1295,created,2679,appt,1440"
"waiting,339,appt,394,created,407,assigned,1440"
"waiting,244,created,246,assigned,1359,appt,1440"
"waiting,1334,assigned,1334,created,3159,appt,1440"
"waiting,367,attached,367,created,372,assigned,1440"
"waiting,219,closed,219,completed,1347,attached,1347,created,1349,assigned,1440"
"waiting,219,completed,424,assigned,424,created,1440"
